.NET Development,UVA Technologies & Professional Services LLP,Delhi,"₹ 10,000 /month"
Front End Development,Batch System,Work from home,"₹ 15,000 /month"
Computer Operator,ROOPAK,Mumbai,"₹ 12,000 /month"
Mobile App Development,Preplaced,Gurgaon,"₹ 30,000 /month"
WordPress Development,Stirring Minds,Delhi,"₹ 7,000-12,000 /month"
Backend Development,Isourse,Delhi,"₹ 20,000 /month"
AWS DevOps Engineer,Aaptatt,"Delhi, Gurgaon, Greater Noida","₹ 18,000 /month"
job_role,company_name,location,stipend
Cyber Security,Asynchron Labs,Work from home,"₹ 15,000-20,000 /month"
iOS App Development,Resolute AI Software Private Limited,Work from home,"₹ 8,000-12,000 /month"
2D Character Design,K4 Media & Technologies,Jaipur,"₹ 10,000 /month"
Artificial Intelligence (AI),Asynchron Labs,Work from home,"₹ 12,000-18,000 /month"
Software Testing,Qpact Delivery Solutions,Hyderabad,"₹ 10,000 /month"
Frontend Development,GlobFluent VidyaTech Pvt. Ltd.,Chandigarh,"₹ 5,000-10,000 /month"
Node.js Development,Faclon,Work from home,"₹ 10,000 /month"
Software Testing,IESoft Technologies Private Limited,Work from home,"₹ 15,000 /month"
Software Testing,Quantum IT Innovation,Work from home,"₹ 8,000-10,000 /month"
Demo Post,Seven Arc Info Systems LLP,Gurgaon,"₹ 10,000 /month"
Demo Post,Sigillieum Software Consultants Pvt.Ltd,Gurgaon,"₹ 10,000 /month"
Web Development,Fyle,Work from home,"₹ 35,000 /month"
Android App Development,Mathongo,Work from home,"₹ 10,000-25,000 /month"
Blockchain Development,Tensorblue,Work from home,"₹ 10,000 /month"
Artificial Intelligence (AI),Pawzz,Work from home,"₹ 10,000-12,000 /month"
Reactjs Development,Digital Gimmick,Work from home,"₹ 12,000 /month"
Mobile App Development,Factacy.Ai,Gurgaon,"₹ 15,000 /month"
Machine Learning & AI,Sidhe Petrochemical Private Limited,"Delhi, Noida","₹ 7,000-20,000 /month"
Quality Analyst,Asynchron Labs,Work from home,"₹ 15,000-20,000 /month"
CSS And HTML Developer,Smaclify Technologies,Pune,"₹ 15,000 /month"
Full Stack Developer,Dobby Ads,Work from home,"₹ 15,000-20,000 /month"
IT Assistant Intern,Cleantech Solar,"Thane, Navi Mumbai, Mumbai, Mira Bhayandar, Vasai-Virar","₹ 10,000-20,000 /month"
Mobile App Development,Asynchron Labs,Work from home,"₹ 22,000-25,000 /month"
Automation Testing,Pianalytix Edutech Private Limted,Work from home,"₹ 20,000 /month"
Full Stack Development,Aspirehive,Work from home,"₹ 10,000 /month"
Quality Analyst,AI Certs,Work from home,"₹ 10,000 /month"
AWS DevOps Engineer,IESoft Technologies Private Limited,Mumbai,"₹ 22,000 /month"
Web Development,"Pearl Lemon (London, United Kingdom)",Work from home,$ 100 /month
Core - Software Engineering,Planys Technologies Private Limited,Chennai,"₹ 12,500 /month"
Backend Development,DataChannel Technologies,Work from home,"₹ 15,000 /month"
Computer Vision,K4 Media & Technologies,Work from home,"₹ 10,000 /month"
Flutter Development,K4 Media & Technologies,Work from home,"₹ 10,000 /month"
SQL DEVELOPER,Pianalytix Edutech Private Limted,Work from home,"₹ 20,000 /month"
DevOps,Pianalytix Edutech Private Limted,Work from home,"₹ 20,000 /month"
Angular Development,Pianalytix Edutech Private Limted,Work from home,"₹ 20,000 /month"
ChatGPT-4 Expert Prompt Engineer,Pianalytix Edutech Private Limted,Work from home,"₹ 15,000 /month"
IOS App Development & Android App Development,"TRUCK IT APP LLC (Olympia, United States)",Work from home,$ 250 /week + Incentives
Product Management,Faclon,Mumbai,"₹ 10,000-20,000 /month"
iOS App Development,W3Dev,Noida,"₹ 11,000-13,000 /month"
JavaScript Development,W3Dev,Noida,"₹ 10,000-12,000 /month"
job_role,company_name,location,stipend
Node.js Development,Pianalytix Edutech Private Limted,Work from home,"₹ 20,000 /month"
Flutter Development,Pianalytix Edutech Private Limted,Work from home,"₹ 20,000 /month"
Python Development,Pianalytix Edutech Private Limted,Work from home,"₹ 20,000 /month"
React Native/ React Js,Linked List Technologies LLP,Work from home,"₹ 15,000 /month + Incentives"
Full Stack Development,Zimeshare Technologies (OPC) Private Limited,Noida,"₹ 10,000 /month"
AI Flutter Developer,Systemic Altruism,Work from home,"₹ 10,000-15,000 /month"
Full Stack Development,NovaFocus Private Limited,Bangalore,"₹ 25,000 /month"
Front End Development,AI Certs,Work from home,"₹ 10,000 /month"
Reactjs Development,MoLog Media & Advertising,Gurgaon,"₹ 10,000 /month"
Mobile App Development,Buddha Education Association Incorporation,"Amritsar, Chandigarh, Delhi, Ghaziabad, Gurgaon, Kolkata, Pune, Ranchi, Udaipur, Bangalore, Mumbai, Jaipur, Noida, Raipur","₹ 30,000 /month"
Web Development,Buddha Education Association Incorporation,"Akola, Aurangabad, Chennai, Delhi, Kolkata, Patna, Pune, Amravati, Ahmednagar, Hyderabad, Mumbai, Baramati, Noida, Nashik, Andhra Pradesh","₹ 20,000 /month"
Product Management,Buddha Education Association Incorporation,"Ahmedabad, Chandigarh, Chennai, Coimbatore, Pune, Surat, Ahmednagar, Bangalore, Vadodara, Mumbai, Kochi, Jaipur, Nagpur, Nashik, Goa Velha","₹ 20,000 /month"
Machine Learning,Buddha Education Association Incorporation,"Ahmedabad, Chennai, Indore, Pune, Satna, Surat, Bangalore, Bhopal, Mumbai, Jaipur, Nagpur, Nashik, Bhopalgarh, Gwalior West","₹ 25,000 /month"
